gene_stable_id	transcript_stable_id	protein_stable_id	xref	xref_pos	db_name	transcript_stable_version	xref_version
ENSG00000006432	ENST00000554752	ENSP00000451612	P80192-1	144-412	Uniprot/SWISSPROT	ENST00000554752.7	P80192.197
ENSG00000006432	ENST00000555993	ENSP00000451263	P80192-4	144-412	Uniprot/SWISSPROT	ENST00000555993.6	P80192.197
ENSG00000006837	ENST00000265334	ENSP00000265334	Q8IVW4-1	4-286	Uniprot/SWISSPROT	ENST00000265334.9	Q8IVW4.171
ENSG00000006837	ENST00000521118	ENSP00000428689	E7ET86	4-286	Uniprot/SPTREMBL	ENST00000521118.5	E7ET86.69
ENSG00000006837	ENST00000523832	ENSP00000430496	Q8IVW4-2	4-286	Uniprot/SWISSPROT	ENST00000523832.1	Q8IVW4.171
ENSG00000007047	ENST00000262891	ENSP00000262891	Q96L34-1	59-310	Uniprot/SWISSPROT	ENST00000262891.9	Q96L34.196
ENSG00000007047	ENST00000300843	ENSP00000300843	Q96L34-2	59-310	Uniprot/SWISSPROT	ENST00000300843.8	Q96L34.196
ENSG00000007047	ENST00000587566	ENSP00000465414	K7EK17	1-62	Uniprot/SPTREMBL	ENST00000587566.5	K7EK17.55
ENSG00000007047	ENST00000590909	ENSP00000465613	K7EKG8	1-74	Uniprot/SPTREMBL	ENST00000590909.1	K7EKG8.53
ENSG00000007047	ENST00000592207	ENSP00000466843	K7EN95	1-48	Uniprot/SPTREMBL	ENST00000592207.5	K7EN95.44
ENSG00000007047	ENST00000592762	ENSP00000466702	Q6IPE9	1-97	Uniprot/SPTREMBL	ENST00000592762.5	Q6IPE9.138
ENSG00000007264	ENST00000310132	ENSP00000308734	P42679-1	235-482	Uniprot/SWISSPROT	ENST00000310132.11	P42679.214
ENSG00000007264	ENST00000395040	ENSP00000378481	P42679-3	235-482	Uniprot/SWISSPROT	ENST00000395040.6	P42679.214
ENSG00000007264	ENST00000395045	ENSP00000378485	P42679-2	235-482	Uniprot/SWISSPROT	ENST00000395045.6	P42679.214
ENSG00000007264	ENST00000585778	ENSP00000468030	K7EQY5	235-481	Uniprot/SPTREMBL	ENST00000585778.5	K7EQY5.86
ENSG00000007264	ENST00000588983	ENSP00000465761	K7EKS5	142-237	Uniprot/SPTREMBL	ENST00000588983.5	K7EKS5.54
ENSG00000007264	ENST00000590493	ENSP00000468576	K7ES68	150-267	Uniprot/SPTREMBL	ENST00000590493.5	K7ES68.59
ENSG00000007264	ENST00000619596	ENSP00000483213	P42679-2	235-482	Uniprot/SWISSPROT	ENST00000619596.4	P42679.214
ENSG00000008086	ENST00000379989	ENSP00000369325	O76039-1	13-297	Uniprot/SWISSPROT	ENST00000379989.6	O76039.209
ENSG00000008086	ENST00000379996	ENSP00000369332	O76039-1	13-297	Uniprot/SWISSPROT	ENST00000379996.7	O76039.209
ENSG00000008086	ENST00000463994	ENSP00000485184	A0A096LNR9	13-297	Uniprot/SPTREMBL	ENST00000463994.4	A0A096LNR9.56
ENSG00000008086	ENST00000623364	ENSP00000485581	A0A096LPG3	13-60	Uniprot/SPTREMBL	ENST00000623364.3	A0A096LPG3.45
ENSG00000008086	ENST00000623535	ENSP00000485244	O76039-2	13-297	Uniprot/SWISSPROT	ENST00000623535.2	O76039.209
ENSG00000008086	ENST00000624700	ENSP00000485359	A0A096LP32	13-68	Uniprot/SPTREMBL	ENST00000624700.3	A0A096LP32.39
ENSG00000008086	ENST00000635828	ENSP00000490170	A0A1B0GUM4	13-297	Uniprot/SPTREMBL	ENST00000635828.1	A0A1B0GUM4.35
ENSG00000008086	ENST00000637881	ENSP00000489879	A0A1B0GTX4	13-297	Uniprot/SPTREMBL	ENST00000637881.1	A0A1B0GTX4.33
ENSG00000008086	ENST00000674046	ENSP00000501174	A0A669KBC2	13-297	Uniprot/SPTREMBL	ENST00000674046.1	A0A669KBC2.8
ENSG00000008118	ENST00000009105	ENSP00000009105	Q96NX5-1	23-277	Uniprot/SWISSPROT	ENST00000009105.5	Q96NX5.185
ENSG00000008118	ENST00000361322	ENSP00000354861	Q96NX5-1	23-277	Uniprot/SWISSPROT	ENST00000361322.3	Q96NX5.185
ENSG00000008118	ENST00000423146	ENSP00000392173	C9IYV2	23-245	Uniprot/SPTREMBL	ENST00000423146.5	C9IYV2.78
ENSG00000008118	ENST00000651530	ENSP00000498823	A0A494C109	1-181	Uniprot/SPTREMBL	ENST00000651530.1	A0A494C109.15
ENSG00000008128	ENST00000356200	ENSP00000348529	Q5QPR4	389-674	Uniprot/SPTREMBL	ENST00000356200.7	Q5QPR4.144
ENSG00000008128	ENST00000357760	ENSP00000350403	Q5QPR3	422-707	Uniprot/SPTREMBL	ENST00000357760.6	Q5QPR3.146
ENSG00000008128	ENST00000358779	ENSP00000351629	Q9UQ88-4	427-647	Uniprot/SWISSPROT	ENST00000358779.9	Q9UQ88.202
ENSG00000008128	ENST00000378633	ENSP00000367900	Q9UQ88-1	427-647	Uniprot/SWISSPROT	ENST00000378633.5	Q9UQ88.202
ENSG00000008128	ENST00000378638	ENSP00000367905	Q5QPR4	389-674	Uniprot/SPTREMBL	ENST00000378638.6	Q5QPR4.144
ENSG00000008128	ENST00000404249	ENSP00000384442	Q9UQ88-2	427-647	Uniprot/SWISSPROT	ENST00000404249.8	Q9UQ88.202
ENSG00000010219	ENST00000010132	ENSP00000010132	Q9NR20-1	104-400	Uniprot/SWISSPROT	ENST00000010132.6	Q9NR20.182
ENSG00000010219	ENST00000540757	ENSP00000441755	Q9NR20-1	104-400	Uniprot/SWISSPROT	ENST00000540757.6	Q9NR20.182
ENSG00000010219	ENST00000543431	ENSP00000439697	A0A0A0MTH5	219-515	Uniprot/SPTREMBL	ENST00000543431.6	A0A0A0MTH5.44
ENSG00000010671	ENST00000308731	ENSP00000308176	Q06187-1	402-655	Uniprot/SWISSPROT	ENST00000308731.8	Q06187.257
ENSG00000010671	ENST00000621635	ENSP00000483570	Q06187-2	402-655	Uniprot/SWISSPROT	ENST00000621635.4	Q06187.257
ENSG00000010671	ENST00000695627	ENSP00000512066	Q3MS94	73-197	Uniprot/SPTREMBL	ENST00000695627.1	Q3MS94.101
ENSG00000010671	ENST00000695630	ENSP00000512069	Q572P5	1-230	Uniprot/SPTREMBL	ENST00000695630.1	Q572P5.112
ENSG00000010671	ENST00000703407	ENSP00000512057	Q5JY90	166-479	Uniprot/SPTREMBL	ENST00000703407.1	Q5JY90.165
ENSG00000010810	ENST00000354650	ENSP00000346671	P06241-1	271-524	Uniprot/SWISSPROT	ENST00000354650.7	P06241.263
ENSG00000010810	ENST00000368667	ENSP00000357656	P06241-1	271-524	Uniprot/SWISSPROT	ENST00000368667.6	P06241.263
ENSG00000011566	ENST00000263881	ENSP00000263881	Q8IVH8-1	16-273	Uniprot/SWISSPROT	ENST00000263881.8	Q8IVH8.174
ENSG00000011566	ENST00000341681	ENSP00000345434	Q8IVH8-3	16-273	Uniprot/SWISSPROT	ENST00000341681.9	Q8IVH8.174
ENSG00000011566	ENST00000429397	ENSP00000405137	F8WAZ1	16-131	Uniprot/SPTREMBL	ENST00000429397.5	F8WAZ1.69
ENSG00000011566	ENST00000437545	ENSP00000416958	F5H5A3	1-210	Uniprot/SPTREMBL	ENST00000437545.5	F5H5A3.73
ENSG00000011566	ENST00000484274	ENSP00000476533	V9GY95	16-92	Uniprot/SPTREMBL	ENST00000484274.1	V9GY95.53
ENSG00000012983	ENST00000013125	ENSP00000013125	Q9Y4K4	20-277	Uniprot/SWISSPROT	ENST00000013125.9	Q9Y4K4.185
ENSG00000012983	ENST00000554091	ENSP00000451926	G3V4Q4	20-62	Uniprot/SPTREMBL	ENST00000554091.5	G3V4Q4.67
ENSG00000012983	ENST00000555216	ENSP00000452289	G3V5C6	1-108	Uniprot/SPTREMBL	ENST00000555216.5	G3V5C6.65
ENSG00000012983	ENST00000557390	ENSP00000451980	G3V4T8	20-277	Uniprot/SPTREMBL	ENST00000557390.6	G3V4T8.64
ENSG00000012983	ENST00000682126	ENSP00000507200	A0A804HIS2	20-277	Uniprot/SPTREMBL	ENST00000682126.1	A0A804HIS2.4
ENSG00000013441	ENST00000321356	ENSP00000326830	P49759-1	161-477	Uniprot/SWISSPROT	ENST00000321356.9	P49759.202
ENSG00000013441	ENST00000409403	ENSP00000386875	F8WBF5	161-355	Uniprot/SPTREMBL	ENST00000409403.6	F8WBF5.60
ENSG00000013441	ENST00000409769	ENSP00000386358	B8ZZR0	1-300	Uniprot/SPTREMBL	ENST00000409769.6	B8ZZR0.71
ENSG00000013441	ENST00000434813	ENSP00000394734	P49759-3	161-477	Uniprot/SWISSPROT	ENST00000434813.3	P49759.202
ENSG00000027075	ENST00000332981	ENSP00000329127	P24723-1	355-614	Uniprot/SWISSPROT	ENST00000332981.11	P24723.215
ENSG00000027075	ENST00000555082	ENSP00000450981	P24723-2	355-614	Uniprot/SWISSPROT	ENST00000555082.5	P24723.215
ENSG00000027075	ENST00000555185	ENSP00000451871	G3V4L3	1-151	Uniprot/SPTREMBL	ENST00000555185.5	G3V4L3.62
ENSG00000027075	ENST00000557585	ENSP00000451930	G3V4Q6	194-224	Uniprot/SPTREMBL	ENST00000557585.5	G3V4Q6.71
ENSG00000027644	ENST00000368195	ENSP00000357178	P14616	979-1254	Uniprot/SWISSPROT	ENST00000368195.4	P14616.203
ENSG00000028116	ENST00000340157	ENSP00000342381	Q86Y07-1	29-319	Uniprot/SWISSPROT	ENST00000340157.9	Q86Y07.199
ENSG00000028116	ENST00000417641	ENSP00000402375	Q86Y07-5	29-319	Uniprot/SWISSPROT	ENST00000417641.6	Q86Y07.199
ENSG00000028116	ENST00000435505	ENSP00000408002	Q86Y07-1	29-319	Uniprot/SWISSPROT	ENST00000435505.6	Q86Y07.199
ENSG00000028116	ENST00000440705	ENSP00000398323	Q86Y07-3	29-319	Uniprot/SWISSPROT	ENST00000440705.6	Q86Y07.199
ENSG00000028116	ENST00000648897	ENSP00000497378	Q86Y07-2	29-319	Uniprot/SWISSPROT	ENST00000648897.1	Q86Y07.199
ENSG00000030304	ENST00000189978	ENSP00000189978	O15146-2	575-856	Uniprot/SWISSPROT	ENST00000189978.10	O15146.187
ENSG00000030304	ENST00000374448	ENSP00000363571	O15146-1	575-856	Uniprot/SWISSPROT	ENST00000374448.9	O15146.187
ENSG00000030304	ENST00000416899	ENSP00000393608	A0A087WSY1	567-848	Uniprot/SPTREMBL	ENST00000416899.7	A0A087WSY1.56
ENSG00000034152	ENST00000316920	ENSP00000319139	P46734-2	64-325	Uniprot/SWISSPROT	ENST00000316920.10	P46734.216
ENSG00000034152	ENST00000342679	ENSP00000345083	P46734-1	64-325	Uniprot/SWISSPROT	ENST00000342679.9	P46734.216
ENSG00000034152	ENST00000361818	ENSP00000355081	P46734-2	64-325	Uniprot/SWISSPROT	ENST00000361818.9	P46734.216
ENSG00000034152	ENST00000496046	ENSP00000464043	J3QR49	64-173	Uniprot/SPTREMBL	ENST00000496046.5	J3QR49.63
ENSG00000034152	ENST00000526076	ENSP00000434068	E9PRZ0	35-160	Uniprot/SPTREMBL	ENST00000526076.6	E9PRZ0.64
ENSG00000034152	ENST00000613338	ENSP00000478619	P46734-2	64-325	Uniprot/SWISSPROT	ENST00000613338.4	P46734.216
ENSG00000035664	ENST00000261891	ENSP00000261891	Q9UIK4-1	23-285	Uniprot/SWISSPROT	ENST00000261891.7	Q9UIK4.191
ENSG00000035664	ENST00000457488	ENSP00000408277	Q9UIK4-1	23-285	Uniprot/SWISSPROT	ENST00000457488.6	Q9UIK4.191
ENSG00000035664	ENST00000558069	ENSP00000453235	Q9UIK4-2	23-285	Uniprot/SWISSPROT	ENST00000558069.5	Q9UIK4.191
ENSG00000035664	ENST00000559007	ENSP00000453639	H0YMK1	23-91	Uniprot/SPTREMBL	ENST00000559007.5	H0YMK1.53
ENSG00000035664	ENST00000559306	ENSP00000452970	H0YKW8	23-80	Uniprot/SPTREMBL	ENST00000559306.1	H0YKW8.66
ENSG00000035664	ENST00000612884	ENSP00000484390	Q9UIK4-2	23-285	Uniprot/SWISSPROT	ENST00000612884.4	Q9UIK4.191
ENSG00000037280	ENST00000261937	ENSP00000261937	P35916-2	845-1173	Uniprot/SWISSPROT	ENST00000261937.11	P35916.225
ENSG00000037280	ENST00000393347	ENSP00000377016	P35916-1	845-1173	Uniprot/SWISSPROT	ENST00000393347.7	P35916.225
ENSG00000037280	ENST00000502649	ENSP00000426057	E9PD35	845-1173	Uniprot/SPTREMBL	ENST00000502649.5	E9PD35.88
ENSG00000037280	ENST00000512795	ENSP00000421535	D6RFF2	1-142	Uniprot/SPTREMBL	ENST00000512795.1	D6RFF2.73
ENSG00000038382	ENST00000344204	ENSP00000339299	O75962-1	2796-3052	Uniprot/SWISSPROT	ENST00000344204.9	O75962.220
ENSG00000044524	ENST00000336596	ENSP00000337451	P29320-1	621-882	Uniprot/SWISSPROT	ENST00000336596.7	P29320.223
ENSG00000044524	ENST00000494014	ENSP00000419190	C9JXA2	621-882	Uniprot/SPTREMBL	ENST00000494014.1	C9JXA2.102
ENSG00000047936	ENST00000368507	ENSP00000357493	Q5H8Y1	1939-2216	Uniprot/SPTREMBL	ENST00000368507.8	Q5H8Y1.112
ENSG00000047936	ENST00000368508	ENSP00000357494	P08922	1945-2222	Uniprot/SWISSPROT	ENST00000368508.7	P08922.214
ENSG00000050748	ENST00000347470	ENSP00000321410	J3KNK1	26-296	Uniprot/SPTREMBL	ENST00000347470.8	J3KNK1.63
ENSG00000050748	ENST00000393360	ENSP00000377028	P45984-2	26-321	Uniprot/SWISSPROT	ENST00000393360.7	P45984.223
ENSG00000050748	ENST00000452135	ENSP00000394560	P45984-1	26-321	Uniprot/SWISSPROT	ENST00000452135.7	P45984.223
ENSG00000050748	ENST00000523583	ENSP00000430608	E5RJ57	26-103	Uniprot/SPTREMBL	ENST00000523583.1	E5RJ57.70
ENSG00000050748	ENST00000539014	ENSP00000443149	D7R525	26-214	Uniprot/SPTREMBL	ENST00000539014.5	D7R525.96
ENSG00000055332	ENST00000233057	ENSP00000233057	P19525-1	267-538	Uniprot/SWISSPROT	ENST00000233057.9	P19525.243
ENSG00000055332	ENST00000395127	ENSP00000378559	P19525-1	267-538	Uniprot/SWISSPROT	ENST00000395127.6	P19525.243
ENSG00000055332	ENST00000647926	ENSP00000497534	P19525-1	267-538	Uniprot/SWISSPROT	ENST00000647926.1	P19525.243
ENSG00000055332	ENST00000679507	ENSP00000506024	P19525-1	267-538	Uniprot/SWISSPROT	ENST00000679507.1	P19525.243
ENSG00000055332	ENST00000679979	ENSP00000506455	A0A7P0Z4M0	267-508	Uniprot/SPTREMBL	ENST00000679979.1	A0A7P0Z4M0.5
ENSG00000055332	ENST00000680273	ENSP00000506203	A0A7P0TAL9	210-481	Uniprot/SPTREMBL	ENST00000680273.1	A0A7P0TAL9.5
ENSG00000055332	ENST00000681463	ENSP00000505138	P19525-1	267-538	Uniprot/SWISSPROT	ENST00000681463.1	P19525.243
ENSG00000055332	ENST00000681507	ENSP00000505772	P19525-1	267-538	Uniprot/SWISSPROT	ENST00000681507.1	P19525.243
ENSG00000055332	ENST00000681516	ENSP00000506573	A0A7P0TBA9	267-528	Uniprot/SPTREMBL	ENST00000681516.1	A0A7P0TBA9.5
ENSG00000058091	ENST00000265741	ENSP00000265741	O94921-2	135-419	Uniprot/SWISSPROT	ENST00000265741.7	O94921.197
ENSG00000058091	ENST00000380050	ENSP00000369390	O94921-1	135-419	Uniprot/SWISSPROT	ENST00000380050.8	O94921.197
ENSG00000058091	ENST00000406263	ENSP00000385034	O94921-3	135-419	Uniprot/SWISSPROT	ENST00000406263.5	O94921.197
ENSG00000058091	ENST00000430760	ENSP00000394570	C9IYJ9	89-127	Uniprot/SPTREMBL	ENST00000430760.5	C9IYJ9.102
ENSG00000058091	ENST00000436577	ENSP00000398936	E7EUK8	1-290	Uniprot/SPTREMBL	ENST00000436577.3	E7EUK8.75
ENSG00000058091	ENST00000446224	ENSP00000410770	C9IYJ9	89-127	Uniprot/SPTREMBL	ENST00000446224.5	C9IYJ9.102
ENSG00000058091	ENST00000449528	ENSP00000393616	C9IYJ9	89-127	Uniprot/SPTREMBL	ENST00000449528.5	C9IYJ9.102
ENSG00000058091	ENST00000456689	ENSP00000406848	C9IYJ9	89-127	Uniprot/SPTREMBL	ENST00000456689.5	C9IYJ9.102
ENSG00000058404	ENST00000258682	ENSP00000258682	Q13554-8	14-272	Uniprot/SWISSPROT	ENST00000258682.10	Q13554.218
ENSG00000058404	ENST00000346990	ENSP00000326518	Q13554-7	14-272	Uniprot/SWISSPROT	ENST00000346990.8	Q13554.218
ENSG00000058404	ENST00000347193	ENSP00000326544	Q13554-6	14-272	Uniprot/SWISSPROT	ENST00000347193.8	Q13554.218
ENSG00000058404	ENST00000350811	ENSP00000326375	Q13554-2	14-272	Uniprot/SWISSPROT	ENST00000350811.7	Q13554.218
ENSG00000058404	ENST00000353185	ENSP00000326600	H7BXS4	14-272	Uniprot/SPTREMBL	ENST00000353185.7	H7BXS4.64
ENSG00000058404	ENST00000353625	ENSP00000326427	Q13554-4	14-272	Uniprot/SWISSPROT	ENST00000353625.8	Q13554.218
ENSG00000058404	ENST00000358707	ENSP00000351542	Q13554-3	14-272	Uniprot/SWISSPROT	ENST00000358707.7	Q13554.218
ENSG00000058404	ENST00000395747	ENSP00000379096	Q13554-5	14-272	Uniprot/SWISSPROT	ENST00000395747.6	Q13554.218
ENSG00000058404	ENST00000395749	ENSP00000379098	Q13554-1	14-272	Uniprot/SWISSPROT	ENST00000395749.7	Q13554.218
ENSG00000058404	ENST00000415369	ENSP00000390419	E7EQE4	30-173	Uniprot/SPTREMBL	ENST00000415369.5	E7EQE4.78
ENSG00000058404	ENST00000424197	ENSP00000400387	E9PBE8	14-168	Uniprot/SPTREMBL	ENST00000424197.5	E9PBE8.73
ENSG00000058404	ENST00000440254	ENSP00000397937	Q13554-2	14-272	Uniprot/SWISSPROT	ENST00000440254.6	Q13554.218
ENSG00000058404	ENST00000523845	ENSP00000428912	E7ERS6	14-112	Uniprot/SPTREMBL	ENST00000523845.5	E7ERS6.72
ENSG00000058729	ENST00000283109	ENSP00000283109	Q9BVS4-1	97-272	Uniprot/SWISSPROT	ENST00000283109.8	Q9BVS4.177
ENSG00000058729	ENST00000508447	ENSP00000420932	Q9BVS4-2	97-272	Uniprot/SWISSPROT	ENST00000508447.1	Q9BVS4.177
ENSG00000059758	ENST00000261211	ENSP00000261211	Q00537-1	192-473	Uniprot/SWISSPROT	ENST00000261211.8	Q00537.202
ENSG00000059758	ENST00000542666	ENSP00000442926	F5H6Z0	139-420	Uniprot/SPTREMBL	ENST00000542666.5	F5H6Z0.75
ENSG00000059758	ENST00000543119	ENSP00000444459	Q00537-2	192-473	Uniprot/SWISSPROT	ENST00000543119.6	Q00537.202
ENSG00000060140	ENST00000075503	ENSP00000075503	Q6J9G0	114-384	Uniprot/SWISSPROT	ENST00000075503.8	Q6J9G0.156
ENSG00000060140	ENST00000542924	ENSP00000443760	H0YGL5	1-83	Uniprot/SPTREMBL	ENST00000542924.1	H0YGL5.57
ENSG00000060237	ENST00000315939	ENSP00000313059	Q9H4A3-1	221-479	Uniprot/SWISSPROT	ENST00000315939.11	Q9H4A3.214
ENSG00000060237	ENST00000340908	ENSP00000341292	Q9H4A3-5	221-479	Uniprot/SWISSPROT	ENST00000340908.9	Q9H4A3.214
ENSG00000060237	ENST00000447667	ENSP00000392542	F6UYG0	221-393	Uniprot/SPTREMBL	ENST00000447667.2	F6UYG0.76
ENSG00000060237	ENST00000530271	ENSP00000433548	Q9H4A3-7	221-479	Uniprot/SWISSPROT	ENST00000530271.6	Q9H4A3.214
ENSG00000060237	ENST00000535572	ENSP00000441972	F5GWT4	221-479	Uniprot/SPTREMBL	ENST00000535572.5	F5GWT4.82
ENSG00000060237	ENST00000537687	ENSP00000444465	Q9H4A3-6	221-479	Uniprot/SWISSPROT	ENST00000537687.5	Q9H4A3.214
ENSG00000061938	ENST00000333602	ENSP00000329425	Q07912-1	126-385	Uniprot/SWISSPROT	ENST00000333602.14	Q07912.223
ENSG00000061938	ENST00000381916	ENSP00000371341	A0A499FJ16	189-448	Uniprot/SPTREMBL	ENST00000381916.7	A0A499FJ16.18
ENSG00000061938	ENST00000428187	ENSP00000392546	C9J1X3	158-417	Uniprot/SPTREMBL	ENST00000428187.7	C9J1X3.92
ENSG00000061938	ENST00000439230	ENSP00000395588	Q07912-2	126-385	Uniprot/SWISSPROT	ENST00000439230.6	Q07912.223
ENSG00000061938	ENST00000671734	ENSP00000499897	A0A5F9ZH01	42-301	Uniprot/SPTREMBL	ENST00000671734.1	A0A5F9ZH01.11
ENSG00000061938	ENST00000671753	ENSP00000499858	Q07912-3	126-385	Uniprot/SWISSPROT	ENST00000671753.1	Q07912.223
ENSG00000061938	ENST00000672024	ENSP00000500486	A0A5F9ZHP4	126-385	Uniprot/SPTREMBL	ENST00000672024.1	A0A5F9ZHP4.13
ENSG00000061938	ENST00000672145	ENSP00000500464	A0A5F9ZHL4	190-289	Uniprot/SPTREMBL	ENST00000672145.1	A0A5F9ZHL4.10
ENSG00000061938	ENST00000672623	ENSP00000500426	A0A5F9ZHI7	48-143	Uniprot/SPTREMBL	ENST00000672623.1	A0A5F9ZHI7.9
ENSG00000061938	ENST00000672887	ENSP00000499899	A0A5F9ZGX5	126-385	Uniprot/SPTREMBL	ENST00000672887.2	A0A5F9ZGX5.13
ENSG00000061938	ENST00000673038	ENSP00000500452	A0A5F9ZHJ2	158-417	Uniprot/SPTREMBL	ENST00000673038.1	A0A5F9ZHJ2.13
ENSG00000061938	ENST00000673374	ENSP00000500225	A0A5F9ZHB0	158-280	Uniprot/SPTREMBL	ENST00000673374.1	A0A5F9ZHB0.10
ENSG00000061938	ENST00000673420	ENSP00000500887	A0A5F9ZI29	126-385	Uniprot/SPTREMBL	ENST00000673420.1	A0A5F9ZI29.13
ENSG00000061938	ENST00000678220	ENSP00000503221	A0A5F9ZHJ2	158-417	Uniprot/SPTREMBL	ENST00000678220.1	A0A5F9ZHJ2.13
ENSG00000062524	ENST00000263800	ENSP00000263800	P29376-1	510-786	Uniprot/SWISSPROT	ENST00000263800.11	P29376.201
ENSG00000062524	ENST00000355166	ENSP00000347293	P29376-4	510-786	Uniprot/SWISSPROT	ENST00000355166.9	P29376.201
ENSG00000062524	ENST00000561619	ENSP00000458111	H3BVG6	208-484	Uniprot/SPTREMBL	ENST00000561619.5	H3BVG6.67
ENSG00000063761	ENST00000238561	ENSP00000238561	Q86TW2-2	155-467	Uniprot/SWISSPROT	ENST00000238561.10	Q86TW2.143
ENSG00000063761	ENST00000341211	ENSP00000339663	Q86TW2-3	155-467	Uniprot/SWISSPROT	ENST00000341211.5	Q86TW2.143
ENSG00000064393	ENST00000342645	ENSP00000343108	H7BXX9	192-520	Uniprot/SPTREMBL	ENST00000342645.7	H7BXX9.65
ENSG00000064393	ENST00000406875	ENSP00000385571	Q9H2X6-1	199-527	Uniprot/SWISSPROT	ENST00000406875.8	Q9H2X6.210
ENSG00000064393	ENST00000428878	ENSP00000413724	Q9H2X6-3	199-527	Uniprot/SWISSPROT	ENST00000428878.6	Q9H2X6.210
ENSG00000065243	ENST00000370513	ENSP00000359544	Q16513-3	657-916	Uniprot/SWISSPROT	ENST00000370513.9	Q16513.215
ENSG00000065243	ENST00000370521	ENSP00000359552	Q16513-1	657-916	Uniprot/SWISSPROT	ENST00000370521.8	Q16513.215
ENSG00000065243	ENST00000449189	ENSP00000389076	H0Y429	1-65	Uniprot/SPTREMBL	ENST00000449189.1	H0Y429.56
ENSG00000065361	ENST00000267101	ENSP00000267101	P21860-1	709-966	Uniprot/SWISSPROT	ENST00000267101.8	P21860.238
ENSG00000065361	ENST00000415288	ENSP00000408340	P21860-4	709-966	Uniprot/SWISSPROT	ENST00000415288.6	P21860.238
ENSG00000065361	ENST00000551085	ENSP00000448483	B4DGQ7	709-921	Uniprot/SPTREMBL	ENST00000551085.5	B4DGQ7.113
ENSG00000065361	ENST00000683018	ENSP00000506822	P21860-4	709-966	Uniprot/SWISSPROT	ENST00000683018.1	P21860.238
ENSG00000065361	ENST00000683059	ENSP00000507402	P21860-4	709-966	Uniprot/SWISSPROT	ENST00000683059.1	P21860.238
ENSG00000065361	ENST00000683164	ENSP00000508051	P21860-4	709-966	Uniprot/SWISSPROT	ENST00000683164.1	P21860.238
ENSG00000065534	ENST00000360304	ENSP00000353452	Q15746-1	1464-1719	Uniprot/SWISSPROT	ENST00000360304.8	Q15746.225
ENSG00000065534	ENST00000508240	ENSP00000422984	Q15746-9	1464-1719	Uniprot/SWISSPROT	ENST00000508240.2	Q15746.225
ENSG00000065534	ENST00000685021	ENSP00000508447	Q15746-7	1464-1719	Uniprot/SWISSPROT	ENST00000685021.1	Q15746.225
ENSG00000065534	ENST00000685953	ENSP00000510593	A0A8I5KTQ1	264-519	Uniprot/SPTREMBL	ENST00000685953.1	A0A8I5KTQ1.2
ENSG00000065534	ENST00000686245	ENSP00000509313	A0A8I5KUP2	503-758	Uniprot/SPTREMBL	ENST00000686245.1	A0A8I5KUP2.2
